timestamp,role,story_key,story_text
2025-09-28T08:08:45+00:00,manager,due_payments,93 of 100 applicants (93%) plan to pay less than half upfront. Focus follow-ups on Bright Future Consultants who manages 33 of these cases.
2025-09-28T08:08:45+00:00,manager,course_performance,Bachelor of Business leads with 5 active students—0 more than Bachelor of Engineering. In total 16 learners are currently engaged across all courses.
2025-09-28T08:08:45+00:00,manager,study_reasons,'For personal interest / self-development' is the top motivation with 66 students (66%). 'To get a better job / promotion' follows with 20 mentions.
2025-09-28T08:08:45+00:00,leader,top_agents,"Global Pathways leads with 8 enrolments (25% conversion), 4 ahead of NextGen Education."
2025-09-28T08:08:45+00:00,leader,enrollment_trend,"Jul 2025 recorded 1 enrolments, 0 up from T3 2024."
2025-09-28T08:08:45+00:00,leader,estimated_revenue,"16 confirmed students equate to roughly $296,000 in tuition at $18,500 per enrolment. A further 27 offers could add about $299,700 if 60% convert."
2025-09-28T08:08:45+00:00,manager,due_payments,93 of 100 applicants (93%) plan to pay less than half upfront. Focus follow-ups on Bright Future Consultants who manages 33 of these cases.
2025-09-28T08:08:45+00:00,manager,course_performance,Bachelor of Business leads with 5 active students—0 more than Bachelor of Engineering. In total 16 learners are currently engaged across all courses.
2025-09-28T08:08:45+00:00,manager,study_reasons,'For personal interest / self-development' is the top motivation with 66 students (66%). 'To get a better job / promotion' follows with 20 mentions.
2025-09-28T08:08:45+00:00,leader,top_agents,"Global Pathways leads with 8 enrolments (25% conversion), 4 ahead of NextGen Education."
2025-09-28T08:08:45+00:00,leader,enrollment_trend,"Jul 2025 recorded 1 enrolments, 0 up from T3 2024."
2025-09-28T08:08:45+00:00,leader,estimated_revenue,"16 confirmed students equate to roughly $296,000 in tuition at $18,500 per enrolment. A further 27 offers could add about $299,700 if 60% convert."
2025-09-28T08:08:46+00:00,manager,due_payments,93 of 100 applicants (93%) plan to pay less than half upfront. Focus follow-ups on Bright Future Consultants who manages 33 of these cases.
2025-09-28T08:08:46+00:00,manager,course_performance,Bachelor of Business leads with 5 active students—0 more than Bachelor of Engineering. In total 16 learners are currently engaged across all courses.
